bbl,bin,address,latitude,longitude,cooling_towers,water_tanks,total_equipment,has_building_outline
1000430002,1001018.0,40 Wall St,40.7069747,-74.0096749,1.0,0.0,1.0,True
1000430005,1001019.0,30 Wall St,40.7070388,-74.0101181,1.0,0.0,1.0,True
1000440001,1001021.0,28 Liberty St,40.7079795,-74.0089874,7.0,2.0,9.0,True
1000460001,1001023.0,2 WALL STREET,40.7077305,-74.0113256,1.0,1.0,2.0,True
1000460003,1001024.0,100 Broadway,40.708014,-74.011185,3.0,1.0,4.0,True
1000460009,1001025.0,14 WALL STREET,40.7076263,-74.0107629,3.0,0.0,3.0,True
1000480001,1001027.0,140 BROADWAY,40.7086501,-74.0101174,3.0,0.0,3.0,True
1000490002,1001029.0,111 BROADWAY,40.7087131,-74.0116395,10.0,1.0,11.0,True
1000500001,1001030.0,115 BROADWAY,40.7089355,-74.0114701,5.0,1.0,6.0,True
1000630003,1001069.0,22 Cortlandt St,40.7106954,-74.0104981,2.0,1.0,3.0,True
1000640012,1001087.0,150 BROADWAY,40.7091799,-74.0100742,0.0,0.0,0.0,True
1000640015,1079037.0,160 BROADWAY,40.7093007,-74.0097604,0.0,0.0,0.0,True
1000650007,1001097.0,15 MAIDEN LANE,40.7095889,-74.0090427,3.0,0.0,3.0,True
1000660001,1001108.0,19 LIBERTY STREET,40.7083922,-74.0086818,2.0,0.0,2.0,True
1000670001,1079043.0,59 MAIDEN LANE,40.7086585,-74.0079821,2.0,0.0,2.0,True
1000670023,1001109.0,56 Nassau St,40.709186,-74.008371,5.0,2.0,7.0,True
1000680007,1001111.0,83 Maiden Ln,40.707509,-74.007366,3.0,1.0,4.0,True
1000680036,1001116.0,100 William St,40.7083565,-74.0072594,12.0,2.0,14.0,True
1000750021,1075618.0,40 Fulton St,40.7079217,-74.0047698,1.0,1.0,2.0,True
1000770008,1001186.0,110 WILLIAM STREET,40.7087739,-74.006745,1.0,1.0,2.0,True
1000780004,1079063.0,123 William St,40.7093197,-74.0070766,1.0,1.0,2.0,True
1000800001,1001227.0,195 Broadway,40.7109225,-74.009805,7.0,0.0,7.0,True
1000860001,1001230.0,90 Church St,40.712756,-74.010734,9.0,0.0,9.0,True
1000880001,1001232.0,217 BROADWAY,40.7117463,-74.0088518,1.0,0.0,1.0,True
1000880010,1001237.0,30 VESEY STREET,40.7121525,-74.0098222,0.0,0.0,0.0,True
1000890001,1001242.0,99 Nassau St,40.7104898,-74.0077311,0.0,1.0,1.0,True
1000920024,1079095.0,116 NASSAU STREET,40.7106156,-74.0069147,0.0,0.0,0.0,True
1000930001,1001280.0,81 Fulton St,40.709586,-74.005717,3.0,0.0,3.0,True
1000940025,1001289.0,100 GOLD STREET,40.7101025,-74.0032427,4.0,0.0,4.0,True
1001190001,1089747.0,1 POLICE PLAZA,40.7122105,-74.0017963,0.0,0.0,0.0,True
1001210001,1089759.0,1 CENTRE STREET,40.7129735,-74.0036757,0.0,0.0,0.0,True
1001220001,1079146.0,52 CHAMBERS STREET,40.7128032,-74.0061574,0.0,0.0,0.0,True
1001240004,1001399.0,11 PARK PLACE,40.7131627,-74.0082279,0.0,0.0,0.0,True
1001280002,1001416.0,101 Barclay St,40.7147261,-74.0119411,1.0,0.0,1.0,True
1001440040,1001572.0,56 Hudson St,40.717643,-74.0082492,64.0,0.0,64.0,True
1001480010,1001621.0,71 THOMAS STREET,40.7171124,-74.0074601,1.0,1.0,2.0,True
1001500031,1001648.0,299 Broadway,40.715265,-74.005951,3.0,0.0,3.0,True
1001500038,1001649.0,291 Broadway,40.715009,-74.006157,0.0,1.0,1.0,True
1001510032,1001659.0,305 BROADWAY,40.7155316,-74.0056021,0.0,0.0,0.0,True
1001530001,1079215.0,280 BROADWAY,40.7142333,-74.0056525,2.0,0.0,2.0,True
1001530024,1001670.0,23 CHAMBERS STREET,40.7135938,-74.0042421,1.0,0.0,1.0,True
1001540023,1078613.0,14 READE STREET,40.7143925,-74.0047832,3.0,0.0,3.0,True
1001550001,1001672.0,2 LAFAYETTE STREET,40.714022,-74.003903,4.0,0.0,4.0,True
1001550003,1001673.0,52 DUANE STREET,40.7142416,-74.0040004,9.0,0.0,9.0,True
1001660027,1001830.0,80 Centre St,40.7151735,-74.0012564,9.0,0.0,9.0,True
1001680032,1001831.0,75 CENTRE STREET,40.7156689,-74.002352,3.0,0.0,3.0,True
1001920001,1002192.0,16 Walker St,40.7200084,-74.00462,7.0,2.0,9.0,True
1001940042,1002310.0,60 WALKER STREET,40.7189434,-74.0027994,0.0,0.0,0.0,True
1002090028,1002692.0,261 Canal St,40.7189463,-74.0009244,0.0,2.0,2.0,True
1002120018,1002735.0,52 Varick St,40.7215968,-74.006068,1.0,0.0,1.0,True
1002210030,1002854.0,200 HUDSON STREET,40.7229231,-74.0076555,3.0,2.0,5.0,True
1002250008,1002933.0,205 Hudson St,40.7236336,-74.008458,11.0,2.0,13.0,True
1002260001,1002934.0,431 Canal St,40.723457,-74.006827,2.0,0.0,2.0,True
1002310035,1003020.0,451 BROADWAY,40.7207275,-74.0013528,1.0,1.0,2.0,True
1002320001,1003025.0,434 BROADWAY,40.7199233,-74.0010678,1.0,1.0,2.0,True
1002330026,1003051.0,148 Lafayette St,40.7195533,-73.9999235,1.0,0.0,1.0,True
1004260029,1005719.0,195 Chrystie St,40.722181,-73.992297,0.0,1.0,1.0,True
1004730001,1079877.0,462 BROADWAY,40.7208071,-74.0000938,9.0,3.0,12.0,True
1004740030,1007048.0,483 BROADWAY,40.721798,-74.000451,7.0,0.0,7.0,True
1004760007,1007098.0,100 6 Ave,40.7233382,-74.0044125,1.0,3.0,4.0,True
1004770011,1007119.0,101 6 Ave,40.723425,-74.005435,1.0,1.0,2.0,True
1004820016,1007214.0,72 SPRING STREET,40.7224018,-73.9978895,3.0,3.0,6.0,True
1004840024,1007252.0,495 BROADWAY,40.7222481,-74.0000577,0.0,2.0,2.0,True
1004860011,1007286.0,84 WOOSTER STREET,40.7238263,-74.0010751,4.0,1.0,5.0,True
1004910046,1007385.0,155 6 Ave,40.7253648,-74.0049094,1.0,0.0,1.0,True
1004960040,1007556.0,75 SPRING STREET,40.7227778,-73.9976803,0.0,2.0,2.0,True
1004970001,1007560.0,530 BROADWAY,40.7230715,-73.9983477,2.0,1.0,3.0,True
1004970018,1007567.0,560 Broadway,40.723884,-73.9975982,2.0,2.0,4.0,True
1004980009,1088114.0,557 BROADWAY,40.7240926,-73.9985028,1.0,0.0,1.0,True
1004980011,1007576.0,549 BROADWAY,40.7239224,-73.9986471,1.0,2.0,3.0,True
1004990007,1007605.0,104 GREENE STREET,40.7243671,-73.9994083,1.0,0.0,1.0,True
1005000011,1079963.0,120 WOOSTER STREET,40.7250395,-74.0000758,10.0,1.0,11.0,True
1005050001,1007817.0,150 Varick St,40.7260171,-74.0053807,3.0,2.0,5.0,True
1005100038,1090340.0,298 LAFAYETTE STREET,40.7248336,-73.9958727,3.0,0.0,3.0,True
1005110001,1007942.0,568 BROADWAY,40.7242353,-73.9971968,4.0,1.0,5.0,True
1005110006,1007943.0,580 BROADWAY,40.7244329,-73.9970344,0.0,2.0,2.0,True
1005110008,1079998.0,584 BROADWAY,40.7245976,-73.9968937,15.0,3.0,18.0,True
1005110012,1007944.0,592 BROADWAY,40.7247979,-73.9967061,8.0,1.0,9.0,True
1005120015,1007950.0,591 BROADWAY,40.7251548,-73.9976044,0.0,0.0,0.0,True
1005120023,1080019.0,569 Broadway,40.724598,-73.998039,3.0,3.0,6.0,True
1005190070,1008117.0,180 Varick St,40.7274704,-74.0051061,3.0,0.0,3.0,True
1005220001,1008209.0,610 BROADWAY,40.7255527,-73.996136,1.0,0.0,1.0,True
1005220010,1008212.0,632 Broadway,40.7258902,-73.9954305,0.0,3.0,3.0,True
1005220012,1008213.0,636 Broadway,40.726107,-73.995634,1.0,2.0,3.0,True
1005230044,1008237.0,627 Broadway,40.726265,-73.996567,0.0,1.0,1.0,True
1005230046,1008238.0,625 BROADWAY,40.7261621,-73.9967565,0.0,2.0,2.0,True
1005230048,1008240.0,18 WEST HOUSTON STREET,40.7258904,-73.9969874,1.0,1.0,2.0,True
1005290072,1008454.0,65 Bleecker St,40.7263872,-73.9950438,4.0,1.0,5.0,True
1005300001,1008467.0,670 BROADWAY,40.7272242,-73.9948154,3.0,1.0,4.0,True
1005310020,1008512.0,383 LAFAYETTE STREET,40.7275041,-73.9928635,0.0,0.0,0.0,True
1005320015,1083504.0,661 BROADWAY,40.7273999,-73.9957102,1.0,1.0,2.0,True
1005440001,1080085.0,393 LAFAYETTE STREET,40.7279185,-73.992647,0.0,0.0,0.0,True
1005440008,1008771.0,409 LAFAYETTE STREET,40.7283028,-73.9921743,7.0,1.0,8.0,True
1005450026,1080092.0,740 Broadway,40.7298753,-73.9927326,2.0,0.0,2.0,True
1005480009,1008833.0,13 UNIVERSITY PLACE,40.731292,-73.9947357,0.0,0.0,0.0,True
1005540001,1008952.0,770 BROADWAY,40.7305974,-73.9915137,4.0,0.0,4.0,True
1005540035,1089443.0,51 Astor Pl,40.7301574,-73.9901772,2.0,0.0,2.0,True
1005630031,1009134.0,817 BROADWAY,40.7331966,-73.9915242,1.0,1.0,2.0,True
1005630046,1009141.0,57 EAST 11 STREET,40.7331473,-73.9923577,3.0,2.0,5.0,True
1005640007,1009197.0,113 UNIVERSITY PLACE,40.7342918,-73.9920978,1.0,1.0,2.0,True
1005640034,1009208.0,826 Broadway,40.7332018,-73.9908814,1.0,1.0,2.0,True
1005650015,1080133.0,849 BROADWAY,40.7344372,-73.9911524,0.0,0.0,0.0,True
1005770034,1009716.0,8 WEST 14 STREET,40.7359416,-73.994674,1.0,1.0,2.0,True
1005770039,1009717.0,80 5 Ave,40.735979,-73.994112,0.0,2.0,2.0,True
1005770071,1009722.0,55 West 13 St,40.736593,-73.996548,2.0,1.0,3.0,True
1005780047,1009723.0,250 HUDSON STREET,40.7248444,-74.0073383,2.0,2.0,4.0,True
1005800039,1009750.0,350 Hudson St,40.7276663,-74.0068558,0.0,1.0,1.0,True
1005800065,1009754.0,171 Varick St,40.7273917,-74.0059541,8.0,2.0,10.0,True
1005810063,1009758.0,225 VARICK STREET,40.7290028,-74.0056574,3.0,2.0,5.0,True
1005970012,1010362.0,78 VANDAM STREET,40.7262744,-74.0079878,5.0,1.0,6.0,True
1005970055,1010374.0,333 HUDSON STREET,40.7271335,-74.0076885,0.0,2.0,2.0,True
1005980058,1010378.0,341 Hudson St,40.7277612,-74.0078946,8.0,0.0,8.0,True
1005990064,1010379.0,375 HUDSON STREET,40.7284812,-74.0079232,1.0,1.0,2.0,True
1006010047,1010393.0,120 LEROY STREET,40.7300676,-74.0079739,2.0,1.0,3.0,True
1006020036,1010398.0,611 Washington St,40.7309452,-74.0086057,0.0,1.0,1.0,True
1006020068,1010402.0,435 HUDSON STREET,40.7306249,-74.0071765,4.0,0.0,4.0,True
1006030028,1010404.0,617 WASHINGTON STREET,40.7314866,-74.0085585,8.0,2.0,10.0,True
1006090007,1010633.0,154 WEST 14 STREET,40.7381622,-73.9995598,4.0,2.0,6.0,True
1006270043,1011689.0,320 West 13 St,40.7392634,-74.0040922,2.0,1.0,3.0,True
1006460001,1090681.0,40 10 AVENUE,40.7415874,-74.0081485,0.0,0.0,0.0,True
1006460019,1089295.0,860 WASHINGTON STREET,40.7412827,-74.0076865,1.0,0.0,1.0,True
1006460027,1012229.0,428 WEST 14 STREET,40.7411812,-74.0070586,10.0,1.0,11.0,True
1006720001,1012268.0,601 WEST 26 STREET,40.7515838,-74.0065544,8.0,4.0,12.0,True
1006870029,1012277.0,85 10 Ave,40.7433035,-74.0078987,5.0,0.0,5.0,True
1006900012,1012280.0,555 West 18 St,40.7456579,-74.0077345,4.0,0.0,4.0,True
1006910043,1012290.0,516 West 20 St,40.746117,-74.0068222,1.0,2.0,3.0,True
1006920015,1012294.0,529 West 20 St,40.746601,-74.007002,0.0,1.0,1.0,True
1006920023,1012296.0,513 WEST 20 STREET,40.7463633,-74.0062724,1.0,1.0,2.0,True
1006970023,1012382.0,511 West 25 St,40.749468,-74.0038956,0.0,1.0,1.0,True
1006970056,1089424.0,536 WEST 26 STREET,40.7502692,-74.0049734,1.0,0.0,1.0,True
1007050001,1089412.0,380 11 Ave,40.7552692,-74.0018946,1.0,2.0,3.0,True
1007050039,1090274.0,427 10 Ave,40.754635,-74.000331,1.0,2.0,3.0,True
1007080031,1012493.0,469 10 Ave,40.7562184,-73.9984423,3.0,0.0,3.0,True
1007080037,1012494.0,481 10 Ave,40.7564437,-73.9982577,1.0,2.0,3.0,True
1007120001,1080355.0,444 West 15 St,40.7422617,-74.0072144,2.0,1.0,3.0,True
1007120029,1012535.0,47 9 AVENUE,40.741335,-74.0055502,6.0,0.0,6.0,True
1007120042,1090216.0,412 West 15 St,40.7419263,-74.0059895,5.0,0.0,5.0,True
1007120046,1012539.0,422 West 15 St,40.7420153,-74.0063948,1.0,0.0,1.0,True
1007130001,1012541.0,75 9 AVENUE,40.7425509,-74.0060555,22.0,0.0,22.0,True
1007280060,1012836.0,442 WEST 31 STREET,40.752144,-73.9998592,0.0,2.0,2.0,True
1007310001,1012843.0,460 WEST 34 STREET,40.7540516,-73.9989785,2.0,3.0,5.0,True
1007390001,1013043.0,111 8 AVENUE,40.7413598,-74.0032081,46.0,1.0,47.0,True
1007540078,1013540.0,362 9 AVENUE,40.7510872,-73.9973256,0.0,0.0,0.0,True
1007570031,1013547.0,461 8 Ave,40.7520066,-73.9940245,3.0,0.0,3.0,True
1007580082,1013562.0,440 9 AVENUE,40.7536727,-73.9954919,5.0,0.0,5.0,True
1007590031,1013574.0,315 WEST 35 STREET,40.7533405,-73.9935573,4.0,2.0,6.0,True
1007590045,1013576.0,519 8 AVENUE,40.7534118,-73.9930231,0.0,0.0,0.0,True
1007600012,1013590.0,347 WEST 36 STREET,40.7544878,-73.9943405,0.0,3.0,3.0,True
1007600032,1013596.0,307 WEST 36 STREET,40.7540376,-73.9929076,0.0,0.0,0.0,True
1007600043,1013599.0,531 8 Ave,40.7539556,-73.9925143,1.0,0.0,1.0,True
1007600063,1013604.0,336 West 37 St,40.754692,-73.99403,0.0,2.0,2.0,True
1007610033,1013622.0,545 8 AVENUE,40.7544987,-73.992182,0.0,0.0,0.0,True
1007610037,1013623.0,555 8 Ave,40.7546488,-73.9920448,0.0,3.0,3.0,True
1007610053,1013627.0,330 West 38 St,40.755254,-73.993455,0.0,3.0,3.0,True
1007620019,1013642.0,325 West 38 St,40.75541,-73.9927262,0.0,3.0,3.0,True
1007620033,1013644.0,575 8 AVENUE,40.7550311,-73.9918066,3.0,1.0,4.0,True
1007620042,1013646.0,589 8 Ave,40.755333,-73.991547,0.0,3.0,3.0,True
1007620050,1013650.0,318 WEST 39 STREET,40.7556241,-73.9924634,4.0,0.0,4.0,True
1007630018,1013681.0,333 West 39 St,40.7561107,-73.992625,0.0,2.0,2.0,True
1007630024,1013683.0,315 WEST 39 STREET,40.7559506,-73.9920664,0.0,3.0,3.0,True
1007630049,1013691.0,314 WEST 40 STREET,40.7562581,-73.9920519,1.0,0.0,1.0,True
1007660061,1013820.0,230 WEST 17 STREET,40.7408932,-73.9998376,2.0,2.0,4.0,True
1007670012,1013848.0,249 West 17 St,40.7415665,-73.9998781,2.0,3.0,5.0,True
1007670015,1013849.0,245 West 17 St,40.7414384,-73.9996648,1.0,2.0,3.0,True
1007670054,1082391.0,218 West 18 St,40.7413625,-73.9990063,1.0,1.0,2.0,True
1007680050,1013884.0,220 West 19 St,40.741872,-73.998612,3.0,1.0,4.0,True
1007750058,1080536.0,226 WEST 26 STREET,40.7463552,-73.9956873,0.0,0.0,0.0,True
1007760001,1014225.0,322 8 Ave,40.747198,-73.996678,0.0,2.0,2.0,True
1007780020,1014255.0,239 WEST 28 STREET,40.7480542,-73.9947597,4.0,1.0,5.0,True
1007780048,1014267.0,214 West 29 St,40.7480919,-73.9939849,4.0,0.0,4.0,True
1007790017,1014283.0,231 WEST 29 STREET,40.7486552,-73.9942363,0.0,2.0,2.0,True
1007790039,1014290.0,350 7 Ave,40.748268,-73.993119,0.0,3.0,3.0,True
1007790041,1014291.0,352 7 AVENUE,40.7485783,-73.9929695,0.0,2.0,2.0,True
1007790049,1014295.0,208 West 30 St,40.7486088,-73.9931813,0.0,2.0,2.0,True
1007790057,1014300.0,224 WEST 30 STREET,40.7488419,-73.9939115,0.0,2.0,2.0,True
1007790066,1014303.0,242 WEST 30 STREET,40.7490999,-73.994525,0.0,0.0,0.0,True
1007790075,1014306.0,400 8 AVENUE,40.7493744,-73.9951169,1.0,1.0,2.0,True
1007800007,1014336.0,259 West 30 St,40.7495458,-73.9945946,0.0,3.0,3.0,True
1007800010,1014338.0,251 WEST 30 STREET,40.7494704,-73.9942651,0.0,0.0,0.0,True
1007800013,1014339.0,247 WEST 30 STREET,40.7493881,-73.9940666,0.0,2.0,2.0,True
1007800071,1014347.0,254 WEST 31 STREET,40.7498629,-73.9944383,0.0,2.0,2.0,True
1007830070,1088970.0,250 WEST 34 STREET,40.7512626,-73.9923737,0.0,0.0,0.0,True
1007840019,1014402.0,225 West 34 St,40.7517724,-73.99181,3.0,1.0,4.0,True
1007840041,1014408.0,450 7 AVENUE,40.7514629,-73.9907531,0.0,0.0,0.0,True
1007840051,1014412.0,212 WEST 35 STREET,40.7517072,-73.9908253,0.0,2.0,2.0,True
1007840064,1014415.0,240 WEST 35 STREET,40.7521409,-73.9918539,0.0,2.0,2.0,True
1007840068,1014416.0,248 West 35 St,40.7523115,-73.9921407,0.0,2.0,2.0,True
1007840077,1014419.0,494 8 AVENUE,40.7525966,-73.9927634,0.0,0.0,0.0,True
1007850001,1014421.0,500 8 Ave,40.7530292,-73.9924074,2.0,1.0,3.0,True
1007850007,1014422.0,261 West 35 St,40.7528052,-73.992255,0.0,2.0,2.0,True
1007850011,1014423.0,253 West 35 St,40.7526929,-73.9920058,1.0,2.0,3.0,True
1007850015,1014424.0,247 West 35 St,40.752641,-73.991749,0.0,2.0,2.0,True
1007850018,1014425.0,237 WEST 35 STREET,40.7524593,-73.991464,0.0,2.0,2.0,True
1007850025,1014427.0,225 West 35 St,40.752305,-73.991026,0.0,2.0,2.0,True
1007850029,1014428.0,213 West 35 St,40.752305,-73.991026,0.0,2.0,2.0,True
1007850037,1014429.0,462 7 AVENUE,40.7519624,-73.9903344,0.0,3.0,3.0,True
1007850041,1014430.0,470 7 AVENUE,40.7523604,-73.9901394,0.0,2.0,2.0,True
1007850067,1014434.0,242 WEST 36 STREET,40.7528216,-73.9915723,0.0,2.0,2.0,True
1007860013,1014438.0,255 WEST 36 STREET,40.7532662,-73.9914675,0.0,2.0,2.0,True
1007860051,1014446.0,498 7 AVENUE,40.7528489,-73.9900275,0.0,0.0,0.0,True
1007860064,1014449.0,226 West 37 St,40.7533032,-73.9905571,0.0,2.0,2.0,True
1007860068,1014451.0,240 WEST 37 STREET,40.7534117,-73.9910488,0.0,2.0,2.0,True
1007860076,1014452.0,252 West 37 St,40.7535986,-73.9914121,0.0,2.0,2.0,True
1007870001,1014453.0,540 8 Ave,40.7542503,-73.9916565,0.0,1.0,1.0,True
1007870011,1014454.0,247 West 37 St,40.753977,-73.991433,0.0,2.0,2.0,True
1007870025,1014457.0,225 West 37 St,40.7537269,-73.9904356,0.0,2.0,2.0,True
1007870059,1014462.0,230 West 38 St,40.7538021,-73.9900205,0.0,2.0,2.0,True
1007870067,1014465.0,246 West 38 St,40.7539788,-73.9904576,0.0,2.0,2.0,True
1007870072,1014467.0,256 WEST 38 STREET,40.7541445,-73.9908538,0.0,2.0,2.0,True
1007870076,1014468.0,262 West 38 St,40.7542224,-73.991104,0.0,2.0,2.0,True
1007880004,1014471.0,580 8 AVENUE,40.7548362,-73.9912075,0.0,3.0,3.0,True
1007880011,1014474.0,263 West 38 St,40.7546462,-73.9908706,0.0,2.0,2.0,True
1007880037,1014480.0,209 West 38 St,40.7540353,-73.9892746,0.0,2.0,2.0,True
1007880066,1014487.0,234 West 39 St,40.7545152,-73.9899007,0.0,2.0,2.0,True
1007880073,1014489.0,250 WEST 39 STREET,40.7547236,-73.9903232,0.0,0.0,0.0,True
1007880078,1014490.0,260 West 39 St,40.7548967,-73.9906202,0.0,3.0,3.0,True
1007890014,1014498.0,251 WEST 39 STREET,40.7551024,-73.9900524,1.0,3.0,4.0,True
1007890021,1014499.0,231 WEST 39 STREET,40.7549239,-73.9896337,4.0,3.0,7.0,True
1007890030,1080571.0,205 WEST 39 STREET,40.7547098,-73.9888216,2.0,0.0,2.0,True
1007890036,1014501.0,550 7 AVENUE,40.75446,-73.9885149,3.0,0.0,3.0,True
1007890075,1014511.0,264 WEST 40 STREET,40.7555553,-73.9903736,4.0,3.0,7.0,True
1007940025,1014717.0,125 West 18 St,40.7403438,-73.995646,3.0,3.0,6.0,True
1007950028,1014730.0,111 WEST 19 STREET,40.741077,-73.9951969,2.0,2.0,4.0,True
1007970037,1014774.0,675 6 Ave,40.742119,-73.993974,3.0,3.0,6.0,True
1007970054,1014775.0,118 West 22 St,40.742483,-73.994431,0.0,2.0,2.0,True
1007990012,1014948.0,155 WEST 23 STREET,40.743959,-73.994594,0.0,2.0,2.0,True
1008000025,1014981.0,119 WEST 24 STREET,40.7441922,-73.9932009,2.0,1.0,3.0,True
1008000061,1014991.0,138 West 25 St,40.744773,-73.993626,3.0,2.0,5.0,True
1008000065,1014992.0,150 WEST 25 STREET,40.7447879,-73.9938793,0.0,2.0,2.0,True
1008000068,1014993.0,152 WEST 25 STREET,40.744862,-73.9940562,0.0,2.0,2.0,True
1008010001,1015000.0,275 7 AVENUE,40.7455454,-73.9941608,3.0,0.0,3.0,True
1008010008,1015001.0,159 West 25 St,40.745377,-73.993959,0.0,2.0,2.0,True
1008010024,1015007.0,119 WEST 25 STREET,40.7448043,-73.9927606,4.0,0.0,4.0,True
1008010051,1015020.0,114 West 26 St,40.744999,-73.992372,1.0,2.0,3.0,True
1008010055,1015021.0,122 WEST 26 STREET,40.7450678,-73.9926343,0.0,2.0,2.0,True
1008010061,1015025.0,134 West 26 St,40.745344,-73.993068,0.0,2.0,2.0,True
1008020008,1015034.0,151 WEST 26 STREET,40.7458336,-73.9932766,0.0,2.0,2.0,True
1008020022,1015037.0,127 West 26 St,40.745571,-73.99251,0.0,2.0,2.0,True
1008020056,1015051.0,122 WEST 27 STREET,40.7457402,-73.992313,2.0,2.0,4.0,True
1008020075,1015055.0,158 WEST 27 STREET,40.7461794,-73.9933379,2.0,2.0,4.0,True
1008030004,1015061.0,307 7 Ave,40.7467984,-73.9931484,0.0,3.0,3.0,True
1008030007,1015062.0,153 West 27 St,40.746517,-73.993028,0.0,2.0,2.0,True
1008030018,1015066.0,129 West 27 St,40.746149,-73.992201,0.0,2.0,2.0,True
1008030021,1015067.0,121 WEST 27 STREET,40.746075,-73.9919376,0.0,2.0,2.0,True
1008030067,1015095.0,150 WEST 28 STREET,40.7467613,-73.9928181,0.0,3.0,3.0,True
1008040001,1015097.0,319 7 AVENUE,40.747409,-73.9928289,0.0,1.0,1.0,True
1008040011,1015100.0,145 WEST 28 STREET,40.7470906,-73.9924428,0.0,2.0,2.0,True
1008040044,1015125.0,104 WEST 29 STREET,40.74672,-73.9907971,2.0,2.0,4.0,True
1008050003,1015137.0,345 7 AVENUE,40.7480513,-73.9924138,1.0,3.0,4.0,True
1008050019,1015142.0,135 WEST 29 STREET,40.7474748,-73.9914286,0.0,2.0,2.0,True
1008050039,1015145.0,115 West 29 St,40.7471947,-73.99087,0.0,2.0,2.0,True
1008050094,1015152.0,144 West 30 St,40.7480432,-73.992007,0.0,3.0,3.0,True
1008060006,1015157.0,151 West 30 St,40.7484332,-73.9917776,9.0,2.0,11.0,True
1008060026,1015161.0,115 West 30 St,40.747864,-73.990536,0.0,1.0,1.0,True
1008060058,1015171.0,128 WEST 31 STREET,40.7481884,-73.9907716,4.0,0.0,4.0,True
1008070001,1015175.0,393 7 AVENUE,40.7491464,-73.9911721,3.0,0.0,3.0,True
1008070028,1015181.0,119 WEST 31 STREET,40.7485891,-73.9898549,0.0,2.0,2.0,True
1008080040,1015190.0,100 WEST 33 STREET,40.7491489,-73.9892629,9.0,0.0,9.0,True
1008090053,1015201.0,112 West 34 St,40.7497807,-73.9890525,3.0,0.0,3.0,True
