bbl,tenant,floor,sf_occupied,move_in_date
1012670034,Abbott Capital,7th,20130,12/23/25
1007600063,ABC Imaging New York,GRND,"3,000",15-Jan
1008470027,ABC Kitchen,GRND,"5,259",4-Sep
1000880018,ABC Process Service,31st,3734,6/1/21
1007640001,Abel Bainnson Butz,11th,"3,947",Jan-91
1012690001,Abeona Therapeutics,33rd,"10,600",1-Jun
1013260001,Aberdeen Group,4th,"6,800",23-Mar
1012910038,ABG Acquisition Corp,12th,"5,295",21-Jul
1007870001,ABG Print,15th,"8,395",20-Jul
1013110040,Abington Properties,27th,"7,000",Jan-95
1008440001,ABKCO Music and Records,11th,"8,497",1-Aug
1000220024,ABM,10th,"6,138",22-Feb
1000800001,Abrams Books,9th,"41,982",17-May
1012760069,Abramson Brothers,10th,"6,300",Jan-83
1013050060,Abramson Law Group,23rd,"5,800",1-Apr
1008460033,ABS Partners,10th,"14,311",5-Oct
1007780048,ABYU Lighting,9th,"1,944",18-Sep
1008490063,AC Power,8th,3800,6/1/23
1008490070,AC Power,8th,"3,800",23-Jun
1008360033,ACA Acupuncture,7th,"2,710",1-Mar
1006920015,ACA Galleries,5th,"3,100",18-Jun
1013210047,Acacia,6th,"3,970",1-February
1008690020,Academy Engraving,2nd,"1,425",1-Jan
1012950033,Academy Securities,12th,8500,2/22/25
1012890036,Accel-KKR,18th,"10,725",26-Jun
1012900036,Access Capital,19th,"7,045",19-Sep
1012720063,Access Industries,28th,"25,000",18-May
1008280033,Accessibe,"11th, 14th",17422,5/1/22
1007790057,Accessories Council,2nd,"2,661",1-Jan
1008630006,Accessory Collective,2nd,"6,000",1-Apr
1008340022,Accessory Innovations,6th,"11,000",11-Nov
1012910001,Accor,7th,22832,6/1/24
1012890021,AccountAbility,14th,"5,331",1-Aug
1000330001,Accounting & Compliance Int'l,16th,"5,325",1-Jun
1012750001,Accounting & Compliance Int'l,16th,"5,325",21-June
1012630014,Accredited Gemological Institute,5th,"3,024",16-Jul
1000090014,Accrete,9th,13800,2/1/25
1007540078,Accur Recruiting Services,2nd,"1,000",24-Jun
1008130031,Accutime Watch,6th,"9,925",3-Sep
1000390012,AccuWeather,26th,"14,311",1-Mar
1008680012,Acelero Learning,8th,1166,4/1/23
1000200009,ACF Consultants,1st,"2,083",5-Sep
1013040033,Achelous Partners,2nd,1500,1/20/25
1012730001,Achilles International,17th,5530,11/25/25
1007630024,Achilles International,2nd,"4,890",1-Sep
1008150014,ACHS Management Corporation,3rd,5500,1-Aug
1007860013,ACI,8th,"1,800",1-Jul
1007800071,ACMH,"2nd, 9th","10,010",1-Jan
1008270049,ACMP,8th,"3,673",1-Jan
1008140046,AcneClinicNYC,16th,1898,11/1/19
1000210001,acolad,14th,11300,1/1/13
1007850025,Acoustiguide,15th,"3,122",20-Feb
1007850029,Acoustiguide,15th,"3,122",20-Feb
1001500031,Acquis Consulting Group,12th,"8,900",9-Nov
1012810056,"Acreage, Inc.",11th,"6,851",19-Jan
1012890028,ACRES Capital,17th,"5,560",23-Sep
1012850021,ACT Commodities,17th,17250,12/16/25
1000090001,ACTA Realty,29th,"13,156",Feb-69
1000100023,Action Against Hunger,2nd,15621,8/1/15
1000110021,Action Black,GRND,"10,200",24-Jun
1012950058,Active Physical Therapy Group,25th,"3,244",1-Apr
1013290001,Active Physical Therapy Group,34th,"17,862",23-Oct
1008360033,Active Spine & Joint Care,12th,"1,125",1-Oct
1008220058,Actively AI,"9th, 10th",10722,6/1/25
1009990003,Actors Federal Credit Union,5th,"8,473",1-May
1008040011,Actors Theatre Workshop,3rd,5286,11/1/04
1009990003,Actors' Equity Association,15th,"4,060",1-Jan
1008080040,Acxiom,9th,20000,4/1/22
1013200046,Ad Plus,1st,7176,9/19/25
1008340049,AD Sutton and Sons,11th,18593,10/1/18
1008050094,Ada Core Technologies,16th,"8,075",15-Jul
1000160125,ADAM Grooming Atelier,GRND,"1,500",23-Apr
1000090029,"Adam Leitman Bailey, P.C.",18th,"25,640",1-May
1012880056,Adam Lippes,14th,"11,500",25-May
1007850015,Adams Commercial Realty,4th,"1,000",15-Jun
1000460009,Adamson Associates Architects,2nd,7000,1/1/09
1000420031,ADAPT Community Network,"8th, 12th","20,160",1-Nov
1010100015,AdaptHealth,14th,"10,275",25-Sep
1007600032,Adaptive Design Association,1st,"3,600",1-May
1007880049,Adaptive Financial Consulting,16th,6156,9/1/18
1008680010,Adar 2000,GRND,500,24-Oct
1012950023,ADCO Electrical Corporation,13th,"14,446",1-Mar
1012780020,Addepar Inc.,25th,"40,553",16-Apr
1000400014,Addison,"8th, 9th",29000,9/1/12
1008410001,Adecco,19th,"9,739",1-Apr
1012780069,Adelphi University,"2nd, 3rd, 4th",50476,1/1/26
1002260001,Adelphi University,9th,500,Apr-97
1010010029,Adels Famous Halal Food,GRND,"1,000",24-Jul
1007600012,Adept Physical Therapy,13th,1500,12/1/17
1008410018,Adesso,2nd,8900,4/1/18
1005220001,Adidas,GRND,"38,775",1-May
1012820001,Adidas,"GRND, 2nd, 3rd","47,290",16-Nov
1008330011,Adikteev,15th,8232,6/1/21
1012920015,Adira,GRND,500,25-Jul
1008110001,Adjmi Apparel Group,5th,"20,072",12-Jan
1007620033,Adler Branding & Marketing,11th,5434,8/1/16
1008690034,adMarketplace,11th,39261,11/1/23
1000280012,Admento Promotions Group,9th,"3,832",Oct-97
1008210041,Adobe,"4th, 5th, 8th, 9th",49759,7/1/15
1008130023,Adobo Mexican Grill,GRND,800,23-Oct
1007880049,ADP,15th,18500,4/1/22
1007830070,ADP,23rd,37000,1/1/93
1007940025,ADP,4th,"28,850",24-Oct
1007870040,Adrianna Papell,10th,"25,721",1-Jan
1008270049,Adt 24-7 Monitoring & Home,GRND,500,24-Aug
1007790039,ADT Inc.,GRND,500,24-Oct
1008120006,ADTN International,16th,"4,800",1-Nov
1008590048,Adv Research Foundation,4th,9000,5/1/06
1008800084,Advance Capital Funding,10th,5200,12/1/17
1001500038,Advanced Career Solutions,GRND,500,24-Dec
1008690058,Advanced Dental Laboratory,17th,"4,400",14-Mar
1008820003,Advanced Focus,8th,"1,500",20-May
1008880027,Advanced Urology Ceneter,10th,"8,382",24-Jul
1019310021,Advantage Care Physicians,2nd,"3,208",17-Nov
1013070001,Advent International,"14th, 15th","34,258",10-Jan
1013060001,Advent International,44th,34000,1/25/25
1012750050,Advention Business Partners,35th,"4,000",22-Dec
1008030004,Adventure Media and Events,5th,"4,650",11-May
1008590039,Advertising Research Foundation,4th,"9,000",6-May
1012600042,Advice Personnel,4th,3744,1/1/01
1012880021,AdvisIRy Partners,12th,"7,438",18-Nov
1008060006,Advocate For Children Of NY,"4th, 5th","12,649",10-Jun
1000880010,Advomatic,9th,1000,7/1/16
1008680025,Adweek,8th,12000,3/1/19
1008420042,Adyen,"10th, 11th","30,415",1-Sep
1012890014,AEA,40th,"23,411",21-Feb
1012890014,AEA Investors,"38th, 39th","46,822",24-Sep
1000880005,"AEC Consulting & Expediting, Inc.",9th,"3,125",16-Jul
1009200012,AECOM,"2nd, 3rd","78,519",21-Apr
1012750027,AECOM,5th,"45,245",11-Jun
1013220001,AECOM,8th,24650,6/24/25
1008490031,AEDIT,9th,5000,1/1/20
1008320017,Aegis Ventures,20th,5328,1/1/25
1004960040,Aerie,GRND,6500,6/1/01
1008080040,Aeropostale,GRND,"8,566",1-Dec
1013210001,Aerotek,8th,"7,650",Sep-97
1008670070,AES NYC,GRND,"6,500",18-Oct
1008260069,Aesop,12th,"10,000",1-May
1012650050,Aesop,GRND,600,24-Jul
1000890001,Aesthetic Lounge Nyc,GRND,500,24-May
1007570031,Aetion,7th,"27,877",20-Jun
1017230010,Aetna Better Health of New York,13th,"2,720",12-Sep
1013260001,Aetos,22nd,7835,12/3/25
1008230029,AF New York,"5th, 6th","16,450",1-Mar
1008220054,AF New York,"5th, 6th","16,450",17-Mar
1001270018,Affiliated Physicians,5th,"4,953",1-Jan
1012610042,Affinity Designs,3rd,"2,711",1-May
1007540078,Affirm,15th,"21,526",25-May
1008760006,Affordable Interior Systems,3rd,"7,334",1-Mar
1012750050,AFRY,3rd,"7,000",23-Apr
1010540041,AFSCME,"1st, 3rd, 4th, 5th, 7th","35,350",1-May
1008680025,Aftra Health & Retirement,7th,"24,000",1-Sep
1008650014,Afuri,GRND,"1,596",25-Jun
1012750059,Agio,18th,"6,035",1-Apr
1008760001,"AGM&B, LLC",9th,"9,636",22-May
1008150046,"AGMB, LLP",8th,12000,10/1/24
1008140052,Agressive Apparel,28th,"7,900",25-Sep
1000220020,Agudath Israel of America,14th,17003,6/1/02
1008280035,Ahead,3rd,"1,328",20-Aug
1000680007,AHRC NYC,"2nd,7th, 8th, 9th, 10th, 11th, 12th, 13th","107,532",6-Aug
1008330018,Ai Ja Lee Acupuncture Center,10th,"1,000",17-Jan
1008000061,AICL Professional Suites,8th,"5,750",5-Jul
1005770039,AICL Professional Suites,9th,"2,000",3-Apr
1007790041,AIDS Healthcare Foundation,12th,3059,3/1/19
1013180033,AIE Business Service,1st,1500,3/1/01
1000440001,AIG,"22nd, 49th","70,488",21-May
1004740030,Aime Leon Dore,"3rd, 5th",20800,6/1/01
1008380048,Aine Construction,1st,500,21-Sep
1000630003,AIPSO,21st,"7,900",17-Aug
1007890014,Air Aroma USA Dis,12th,4200,5/1/01
1008610003,Air Ideal,5th,3650,9/1/24
1008290068,Aircall,14th,12083,9/1/23
1000110021,Airfit Hvac,GRND,500,25-Jul
1005770034,AirSculpt,11th,5174,7/1/01
1012760004,Aisling Capital,GRND,3000,23-Jul
1008030067,Aj's Designs,12th,2700,2/1/16
1008030018,Ajax Press,2nd,500,22-Nov
1008340080,Ajay K. Arora Attorney,5th,"1,206",17-Mar
1008950001,AKAM,14th,"26,311",22-Mar
1008230029,AKDO,GRND,7500,4/1/16
1008220054,AKDO,GRND,"7,500",16-Apr
1007850018,Al Lee installations,2nd,4315,9/1/17
1000440001,Alamo Drafthouse Cinema,GRND,"34,710",21-Oct
1012890021,Alan David Custom Suits,3rd,1000,2/24/25
1000880001,Alan J Stopek Law Office,5th,1280,8/1/01
1012830017,Alan Ripka and Associates,12th,3000,20-Dec
1008220070,Alan Tanksley,8th,3358,8/1/18
1013160030,Alba Construction,5th,"1,500",10-Jun
1008880027,Albert Ellis Institute,9th,"8,382",13-Aug
1013090066,"Albert M. Harary, M.D.",17th,3115,1/1/11
1007850067,Alberto Makali,GRND,2545,4/1/01
1007880078,Albini USA,18th,"2,650",23-Oct
1008620016,Alcap Funding Corp.,18th,2938,8/1/24
1008150039,Alchemation,GRND,500,14-Feb
1013040033,Alchemy ABR Investment,22nd,10500,11/17/25
1000640015,Alchemy Ventures,5th,1600,12/1/17
1004980011,ALDO,GRND,1500,2/1/01
1007630018,Aleef Coffee House,GRND,500,22-Oct
1007850018,Alessa Cucina Bar,GRND,5400,9/1/24
1008330006,Alessandro Weber Design,5th,2018,3/1/16
1008260026,Alethea,3rd,5418,5/1/24
1008140015,Alex Evenings,15th,"26,464",14-Jul
1012620056,Alex Nazar,16th,"1,000",18-Jan
1012630059,Alex Sepkus Co,5th,4000,8/1/07
1017550033,Alexander Climate Control,5th,800,Aug-97
1006970047,Alexander Gray & Associates,GRND,500,22-May
1013280001,Alexander Group,20th,14698,12/21/25
1008640025,Alexandra Hamlet Psychologist,14th,500,25-Apr
1008030007,Alexandria Investment Research and Tech,9th,"2,216",21-May
1008110021,Alfred Dunner,"11th, 12th",58087,2/1/01
1008610049,Alfred Kahn,6th,2050,12/1/17
1008630060,Algin Management,16th,7758,3/1/15
1008060026,Alianza Duffy,2nd,"3,500",25-Mar
1010150029,Alicart Restaurant Group,5th,6882,3/16/25
1007310001,alice + olivia,"5th, 10th, 11th",27100,9/1/01
1006460027,alice + olivia,GRND,2245,2/1/01
1008350041,Alidoro,GRND,"1,156",25-Jan
1008530002,Alidoro,GRND,"1,004",24-Oct
1000220024,Align,"29th, 31st",7420,2/1/03
1013280001,AlixPartners,30th,31440,5/23/25
1005990064,Alkeon Capital,"19th, 20th",23406,10/16/25
1008360033,All American Homecare Agency,4th,3532,5/1/16
1008680010,All Around Mechanical,9th,500,25-Jan
1012950058,All Care Fertility Center,"6th, 8th, 9th",12268,3/1/24
1000290070,All Metro Healthcare,6th,12228,11/1/22
1012950040,All Nippon Airways,5th,"4,251",17-Feb
1010130029,All Souls Bethlehem Church,8th,1000,3/1/20
1012620056,All Star Watches,GRND,500,23-Jan
1009930047,Antico Vinaio,GRND,665,24-Apr
1013180033,Allan Briteway,9th,11744,10/1/01
1004960036,Allbirds,GRND,4400,11/1/01
1012610034,AllCity Label & Tag Company,6th,3000,5/8/25
1008050019,Allcraft,2nd,1000,7/1/16
1008390070,Allegiance Protection,11th,2500,6/1/18
1012910001,Allen & Company,"8th, 9th, 10th",68447,10/1/97
1012910021,Allen Edmonds,GRND,1500,2/1/97
1000160125,Allen Edmonds,GRND,750,17-Jun
1013070023,Allen Matkins,38th,"17,627",23-May
1008580006,Allermuir,9th,5575,9/1/17
1000210004,Alliance For Downtown NY,"4th, 6th",16019,7/1/10
1012780014,Alliance Talent,19th,1500,3/23/25
1000350001,Alliant Insurance Services,"27th, 29th","59,062",18-Nov
1000440001,Allianz,"24th, 25th","71,692",19-Sep
1010220043,Allianz,"41st, 42nd, 43rd, 44th, 45th, 46th","266,403",11-Feb
1007120001,Allidura Consumer,GRND,500,24-Dec
1013950017,Allied Partners,9th,11365,3/1/97
1008130001,Allied T Pro,16th,800,19-Aug
1008130001,Allied Universal,6th,"30,000",23-Apr
1008010061,Allround Forwarding,10th,"1,500",3-Apr
1008110051,Allure Gems,GRND,17535,1/1/21
1008590024,AllWel,GRND,1833,9/20/25
1012980023,Ally Financial,5th,35871,1/25/25
1008600001,Almar Sales Company,"3rd, 6th",12457,9/1/01
1008340039,Almar Sales Company,"3rd, 6th","12,457",9-Sep
1008380076,Almost Famous,5th,4000,10/1/20
1008140001,Almost Famous Clothing,14th,"5,648",8-Oct
1012620056,Aloni Diamonds ,4th,"1,700",8-Jul
1013230047,Alpha Alternatives,14th,5241,2/18/25
1013940005,Alpha Ambulatory Surgery Center,4th,"3,389",22-Jan
1008390029,Alpha Graphics,GRND,500,18-May
1000090014,Alpha Space NYC,"25th, 33rd, 35th, 42nd",37705,12/1/21
1000090014,Alphadyne Asset Management,"28th, 29th, 30th",43864,10/1/05
1007840060,AlphaPrimeTech Career School,5th,2350,12/1/18
1012750027,AlphaSights,"10th, 11th, 12th, 13th, 14th",190304,10/22/25
1008650071,Alpine Construction,3rd,"1,650",21-Mar
1008620045,Alpine Creative Group,1st,8655,10/1/04
1005590016,Alpine Investors,"12th, 14th",22000,6/1/23
1000220020,ALS United Greater New York,17th,2960,3/1/07
1008690034,Alston & Bird,"12th, 13th, 14th, 15th",117200,3/1/11
1012830017,AltamarCAM Partners,5th,3657,16-Aug
1012880007,Altaris Capital,31st,8925,6/1/18
1010130029,Alter Native Retail,GRND,3916,12/1/01
1013210001,Alternative Investment Mgmt,12th,8123,15-Jan
1008650014,Alteryx,16th,18017,7/20/25
1013110001,Altfest Personal Wealth Management,6th,"7,067",14-May
1012780020,AlTi Tiedemann Global,27th,"40,553",25-May
1008410054,Altman Foundation,19th,6667,14-Jul
1008460033,Altman Greenfield & Selvaggi,8th,"16,516",3-Jun
1000880018,Altman Schochet,39th,4050,7/1/16
1012770014,Altman Solon,6th,8860,2/22/25
1012750027,Alto Pharmacy,1st,5459,5/1/01
1010250025,Alton Aviation Consultancy,22nd,4900,22-Feb
1000650007,Altrum Group,"2nd, 6th",5854,7/1/16
1008440003,Alts,9th,1800,6/1/01
1008630060,Alumni Ventures,18th,11006,4/1/20
1000640012,ALUR Walls,15th,4015,1/1/24
1012930059,Alvarez & Marsal Holdings,5th-10th,125798,12-Sep
1008380024,Alvarez Conservation Services,11th,"1,300",18-Oct
1007790017,Alvita Care,4th,2920,9/1/18
1002090028,Alyssa Kapito Interiors,3rd,"1,070",17-Aug
1008400058,Alzheimer's Drug Discovery,9th,4078,5/10/25
1012730001,Alzheimer's Drug Discovery,9th,4078,10-May
1007780036,Alzheimer's Foundation,"7th, 16th",7154,9/1/03
1007760001,Alzheimer's Foundation,"7th, 16th","7,154",3-Sep
1000680011,AM Property Holding Corp,3rd,2422,7/1/16
1007870044,AM Retail Group,2nd,13830,12/1/01
1008950001,Amalgamated Bank,"2nd, 3rd, 5th","94,244",26-Apr
1008010001,Amalgamated Bank,9th,1000,7-Mar
1005640007,Amalgamated Lithographers,"2nd, 3rd",7500,7/1/16
1008640025,Amanda Greenspan Law,GRND,500,25-Apr
1006020068,Amann Conservation Associates,2nd,5545,1/1/08
1010350001,AMAS Musical Theatre,8th,"5,500",20-Oct
1000390012,Amazon,1st,2000,6/1/01
1008400042,Amazon,1st-12th,615780,23-Jun
1008410049,Amazon,"1st, 2nd, 3rd, 4th, 5th, 6th, 7th, 8th, 9th, 10th, 11th, 12th",331065,9/1/01
1008360026,Amazon,"2nd, 3rd, 4th, 5th, 6th, 7th, 8th, 9th, 10th, 11th, 12th",419958,1/1/01
1008590064,Ambassador Construction,5th,9100,8/1/14
1007850041,Ambient Group,12th,6500,1/1/07
1008280035,Ambition,GRND,"6,011",22-Mar
1017750033,AMC Community Service,1st,1950,7/1/16
1008070001,AMC Networks,"16th, 17th, 18th",130761,3/1/01
1008150014,AMC USA,GRND,1500,11/1/20
1010250054,AMDA,"10th, 11th, 12th, PENT","37,930",20-Nov
1000090014,Amelia,"10th, 11th, 13th, 15th, 16th, 17th, 18th, 19th, 20th",100087,3/1/03
1013100041,Amer Friends of Israel,5th,5000,7/1/16
1008410054,Amer Friends of Israel,8th,6667,21-Jan
1008500001,Amer Sports,9th,11238,1/1/24
1007870044,Amerex Group,"7th, 8th, 9th",32209,5/1/01
1012630071,America Media,11th,14408,1/1/17
1013180033,America Works,16th,12000,1/1/01
1012610021,American Assn of Ad Agencies,16th,10521,5/1/22
1008950045,American Australian Association,34th,"13,129",22-Feb
1008400071,American Barber Institute,GRND,1596,8/1/18
1000680036,American Beauty Salons,GRND,768,21-May
1012770014,American Century Investment,9th,41054,1/16/25
1007840077,American Composers Orchestra,1st,1809,11/17/25
1012930035,American Cont'l Properties,11th,2604,8-Apr
1012990027,American Corporate Partners,21st,"16,155",16-Jul
1008570024,American Eagle,1st,338085,26-Jun
1000160140,American Express,"2nd, 3rd, 19th, 22nd, 26th, 29th, 30th, 31st, 32nd, 33rd, 34th, 35th, 36th, 37th, 38th, 41st, 42nd, 43rd, 44th, 45th, 46th, 47th, 48th, 49th, 50th, 51st","880,333",Nov-96
1012970033,American Express Global Business Travel,4th,"18,605",22-Jun
1010150029,American Fed of Musicians,9th,18493,5/1/19
1007840019,American Federation of Musicians and Employers',12th,"25,551",13-Jan
1005220012,Amer Friends of Israel,6th,"7,459",9-Jun
1008880024,American Friends Of Attingham,16th,500,17-Nov
1007850007,American Friends of Laniado Hospital,8th,"3,500",10-Apr
1008270049,Amer Friends of Israel,GRND,"1,500",23-Jan
1008060001,American Guild Of Variety Artists,17th,"3,600",21-Nov
1008690066,American Heart Association,11th,16683,8/1/18
1007870001,American Income Life Insurance Company,5th,"8,395",21-Jul
1012610019,American Infusion Center,6th,5000,2/1/01
1010030029,American International Group,"11th, 12th, 35th, 37th, 38th, 39th, 40th, 41st",320000,5/21/25
1012950001,American Kennel Club,5th,"58,200",18-Sep
1008400028,American Lung Association,3rd,4465,12/1/10
1012620001,American National Standards,10th,23148,6/1/24
1002260001,American Numismatic Society,11th,"2,100",16-Jul
1008390019,American Outcomes,5th,5000,6/1/07
1008680010,American Professional Management,11th,500,25-Apr
1005050036,American Quality Service,10th,24794,6/20/25
1012920015,American Securities,"34th, 35th, 36th, 37th, 38th","88,700",20-May
1008410081,"American Theatre Wing, Inc.",7th,"6,736",24-Nov
1000130027,American Transit Insurance Co,13th,43410,8/1/24
1007800013,American Whiskey,GRND,7940,10/1/09
1008130031,Americans for Ben-Gurion University,19th,"7,597",12-Jun
1013220001,Ameriprise Financial,20th,8400,25-Aug
1012600001,Amerra,GRND,500,18-Aug
1008410049,Amherst Capital Management,29th,16298,5/1/22
1008610064,Amicale Cashmere,13th,5000,3/1/20
1008360043,Amiee Lynn Accessories,"11th, 12th",26285,5/1/01
1012630059,Amipi,15th,4200,1/1/01
1008390009,Amit,5th,11000,3/1/21
1012880001,Amk Energy Services,2nd,3000,10/1/18
1007850001,Amlotus LLC.,9th,"1,709",24-May
1012790045,Ammos Estiatorio,GRND,"2,000",5-Apr
1008140015,Amore Pacific,2nd,"29,649",19-Jun
1000240029,Amper Music,36th,5851,7/1/18
1009950005,Ampersand,11th,37054,1/19/25
1008030004,Amplified Marketing,7th,"3,000",17-Oct
1008490063,Amsive,5th,4954,8/1/14
1008490070,Amsive,5th,"4,954",14-Aug
1012750012,Amsive,GRND,1000,2/19/25
1012970023,Amster Rothstein & Ebenstein,48th,10855,23-Jan
1008690020,Amsterdam & Lewinter,7th,1500,6/1/19
1007830070,Amtrak,5th,61517,10/1/24
1000670001,AmTrust Financial Services,"42nd, 43rd",36549,10/1/07
1000130005,Amudim Community Resources,10th,4500,7/1/20
1000380017,Amwins,6th,"21,760",16-May
1007600012,Amyas Naegele Fine Art Bases,2nd,1336,4/1/01
1013280001,Amynta Group,33rd,8383,4/19/25
